"video_src","start_time","duration","type","seamless_start_time","seamless_duration","match_id","subtitle","subtitleskill","home_team","visiting_team","video_time","code","set_number","home_team_score","visiting_team_score","file"
"9sKfoTSCUf8",65,8,"youtube",65,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 2 - 1 Vela","Valeria Gerace - High Ball Pos 4 : #","BCV Caluso","Vela",70,"*11AH#V5~42AH",1,3,1,NA
"9sKfoTSCUf8",108,8,"youtube",108,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 4 - 1 Vela","Matilde Fragonas - Unknown freeball type : =","BCV Caluso","Vela",113,"*03FH=~~~2",1,4,2,NA
"9sKfoTSCUf8",125,8,"youtube",125,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 4 - 2 Vela","Arianna Gillone - Float serve reception : =","BCV Caluso","Vela",130,"*12RH=~~~61C",1,4,3,NA
"9sKfoTSCUf8",164,8,"youtube",164,5,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 4 - 4 Vela","A BordÃƒÂ¬ - Float serve : #","BCV Caluso","Vela",169,"a60SH#~~~65B",1,4,5,NA
"9sKfoTSCUf8",166,8,"youtube",169,5,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 4 - 4 Vela","Erika Budau - Float serve reception : =","BCV Caluso","Vela",171,"*01RH=~~~65B",1,4,5,NA
"9sKfoTSCUf8",271,8,"youtube",271,4.5,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 5 - 6 Vela","G Prencipe - Unknown freeball type : !","BCV Caluso","Vela",276,"a67FH!~~~5",1,6,6,NA
"9sKfoTSCUf8",272,8,"youtube",275.5,4,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 5 - 6 Vela","M La Rosa - High ball set : +","BCV Caluso","Vela",277,"a64EH+~~~~3D",1,6,6,NA
"9sKfoTSCUf8",279,8,"youtube",279.5,7.5,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 5 - 6 Vela","G Vinci - Other dig : =","BCV Caluso","Vela",284,"a70DO=~~~42A",1,6,6,NA
"9sKfoTSCUf8",430,8,"youtube",430,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 9 - 7 Vela","Adele Cireddu - High Ball Pos 3 : =","BCV Caluso","Vela",435,"*06AO=V3~34BH~N",1,9,8,NA
"9sKfoTSCUf8",452,8,"youtube",452,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 9 - 8 Vela","M La Rosa - High ball set : +","BCV Caluso","Vela",457,"a64EH+~~~~8C",1,10,8,NA
"9sKfoTSCUf8",583,8,"youtube",583,4.5,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 13 - 9 Vela","Isabella Boni - High ball set : +","BCV Caluso","Vela",588,"*04EH+~~~~3C",1,14,9,NA
"9sKfoTSCUf8",584,8,"youtube",587.5,4.5,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 13 - 9 Vela","Isabella Boni - High Ball Pos 4 : #","BCV Caluso","Vela",589,"*04AH#V5~49DP",1,14,9,NA
"9sKfoTSCUf8",657,8,"youtube",657,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 16 - 10 Vela","Adele Cireddu - Float serve reception : =","BCV Caluso","Vela",662,"*06RH=~~~93A",1,16,11,NA
"9sKfoTSCUf8",805,8,"youtube",805,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 18 - 14 Vela","Valeria Gerace - Unknown freeball type : =","BCV Caluso","Vela",810,"*11FH=~~~82C",1,18,15,NA
