"video_src","start_time","duration","type","seamless_start_time","seamless_duration","match_id","subtitle","subtitleskill","home_team","visiting_team","video_time","code","set_number","home_team_score","visiting_team_score","file"
"9sKfoTSCUf8",65,8,"youtube",65,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 2 - 1 Vela","Valeria Gerace - High Ball Pos 4 : #","BCV Caluso","Vela",70,"*11AH#V5~42AH",1,3,1,NA
"9sKfoTSCUf8",243,8,"youtube",243,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 4 - 6 Vela","Isabella Boni - Pipe : -","BCV Caluso","Vela",248,"*04AM-XP~87BP",1,5,6,NA
"9sKfoTSCUf8",278,8,"youtube",278,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 5 - 6 Vela","Valeria Gerace - unknown attack code : #","BCV Caluso","Vela",283,"*11AO#PR~42AH",1,6,6,NA
"9sKfoTSCUf8",430,8,"youtube",430,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 9 - 7 Vela","Adele Cireddu - High Ball Pos 3 : =","BCV Caluso","Vela",435,"*06AO=V3~34BH~N",1,9,8,NA
"9sKfoTSCUf8",450,8,"youtube",450,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 9 - 8 Vela","Adele Cireddu - High Ball Pos 2 : +","BCV Caluso","Vela",455,"*06AH+V6~28CH",1,10,8,NA
"9sKfoTSCUf8",545,8,"youtube",545,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 12 - 9 Vela","Isabella Boni - High Ball Pos 4 : +","BCV Caluso","Vela",550,"*04AH+V5~46CH",1,13,9,NA
"9sKfoTSCUf8",584,8,"youtube",584,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 13 - 9 Vela","Isabella Boni - High Ball Pos 4 : #","BCV Caluso","Vela",589,"*04AH#V5~49DP",1,14,9,NA
"9sKfoTSCUf8",627,8,"youtube",627,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 15 - 9 Vela","Arianna Gillone - High Ball Pos 4 : +","BCV Caluso","Vela",632,"*12AH+V5~42DP",1,16,9,NA
"9sKfoTSCUf8",1059,8,"youtube",1059,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 20 - 20 Vela","Valeria Gerace - unknown attack code : -","BCV Caluso","Vela",1064,"*11AO-P2~34BH",1,21,20,NA
"9sKfoTSCUf8",1200,8,"youtube",1200,8,"2d5b1a2c1f508fd8caa7997881fa920a|722ad8a874128a5652739f038a196515","Set 1 - BCV Caluso 23 - 21 Vela","Isabella Boni - High Ball Pos 4 : -","BCV Caluso","Vela",1205,"*04AH-V5~48BH",1,24,21,NA
