"video_src","start_time","duration","type","seamless_start_time","seamless_duration","match_id","subtitle","subtitleskill","home_team","visiting_team","video_time","code","set_number","home_team_score","visiting_team_score","file"
"SxETTklb81Y",126,8,"youtube",126,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 1 - PoliVenaria 2 - 4 BCV Caluso","Sharon Beretta - Unknown freeball type : =","PoliVenaria","BCV Caluso",131,"a15FH=~~~1",1,3,4,NA
"SxETTklb81Y",182,8,"youtube",182,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 1 - PoliVenaria 3 - 6 BCV Caluso","Aurora Deluca - Unknown freeball type : =","PoliVenaria","BCV Caluso",187,"a17FH=~~~7",1,4,6,NA
"SxETTklb81Y",548,8,"youtube",548,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 1 - PoliVenaria 6 - 18 BCV Caluso","Arianna Gillone - Unknown freeball type : =","PoliVenaria","BCV Caluso",553,"a12FH=~~~2",1,7,18,NA
"SxETTklb81Y",1209,8,"youtube",1209,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 0 - 8 BCV Caluso","Arianna Gillone - Unknown freeball type : =","PoliVenaria","BCV Caluso",1214,"a12FH=~~~2",2,1,8,NA
"SxETTklb81Y",1237,8,"youtube",1237,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 1 - 8 BCV Caluso","Adele Cireddu - Unknown freeball type : =","PoliVenaria","BCV Caluso",1242,"a06FH=~~~44A",2,2,8,NA
"SxETTklb81Y",1317,8,"youtube",1317,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 4 - 9 BCV Caluso","Sharon Beretta - Unknown freeball type : =","PoliVenaria","BCV Caluso",1322,"a15FH=~~~49A",2,5,9,NA
"SxETTklb81Y",1339,8,"youtube",1339,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 5 - 9 BCV Caluso","Sharon Beretta - Unknown freeball type : =","PoliVenaria","BCV Caluso",1344,"a15FH=~~~39A",2,6,9,NA
"SxETTklb81Y",1418,8,"youtube",1418,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 7 - 11 BCV Caluso","Adele Cireddu - Unknown freeball type : =","PoliVenaria","BCV Caluso",1423,"a06FH=~~~25D",2,8,11,NA
"SxETTklb81Y",1560,8,"youtube",1560,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 11 - 14 BCV Caluso","Adele Cireddu - Unknown freeball type : =","PoliVenaria","BCV Caluso",1565,"a06FH=~~~3",2,12,14,NA
"SxETTklb81Y",1588,8,"youtube",1588,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 12 - 14 BCV Caluso","Arianna Gillone - Unknown freeball type : =","PoliVenaria","BCV Caluso",1593,"a12FH=~~~4",2,13,14,NA
"SxETTklb81Y",2657,8,"youtube",2657,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 4 - 15 BCV Caluso","Erika Budau - Unknown freeball type : =","PoliVenaria","BCV Caluso",2662,"a01FH=~~~9",3,5,15,NA
"SxETTklb81Y",2874,8,"youtube",2874,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 8 - 19 BCV Caluso","Valeria Gerace - Unknown freeball type : =","PoliVenaria","BCV Caluso",2879,"a11FH=~~~5",3,9,19,NA
