data,ora,Home Team,Away Team,luogo
Sun/28/04/24,ore 15.00,VOLLEY FORTITUDO,ALTO CANAVESE VOLLEY,"LICEO NEWTON VIA PALEOLOGI, 22 CHIVASSO"
Sat/24/02/24,ore 15.00,Basso Canavese VolleyY Gialla,AF ALLOTREB U12,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Sat/24/02/24,ore 10.30,Canavolley Ivrea,VAL SANGONE VOLLEY,Palestra Antonicelli -Viale Kennedy 45 - IVREA
Sun/3/03/24,ore 15.00,VAL SANGONE VOLLEY,Basso Canavese VolleyY Gialla,I.T.C. PASCAL  VIA CARDUCCI 4 - GIAVENO 
Sun/3/03/24,ore 10.30,ALTO CANAVESE VOLLEY,Canavolley Ivrea,"Pala Citta' Di Cuorgne' - VIA CAPPA, 2 CUORGNE'"
Sat/2/03/24,ore 15.00,AF ALLOTREB U12,VOLLEY FORTITUDO,Palestra Scuola Silvio Pellico via xxv aprile n 15 a San Mauro Torinese
Sat/9/03/24,ore 15.30,VOLLEY FORTITUDO,VAL SANGONE VOLLEY,"LICEO NEWTON VIA PALEOLOGI, 22 CHIVASSO"
Sat/9/03/24,ore 15.00,Basso Canavese VolleyY Gialla,Canavolley Ivrea,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Sat/9/03/24,ore 18.00,AF ALLOTREB U12,ALTO CANAVESE VOLLEY,SE Carlo Levi   Via Zandonai 18 Torino
Sun/17/03/24,ore 15.00,VAL SANGONE VOLLEY,AF ALLOTREB U12,I.T.C. PASCAL  VIA CARDUCCI 4 - GIAVENO 
Sat/16/03/24,ore 15.00,Basso Canavese VolleyY Gialla,ALTO CANAVESE VOLLEY,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Sat/16/03/24,ore 10.30,Canavolley Ivrea,VOLLEY FORTITUDO,Palestra Antonicelli -Viale Kennedy 45 - IVREA
Sat/23/03/24,ore 15.30,VOLLEY FORTITUDO,Basso Canavese VolleyY Gialla,"LICEO NEWTON VIA PALEOLOGI, 22 CHIVASSO"
Sat/23/03/24,ore 14.30,ALTO CANAVESE VOLLEY,VAL SANGONE VOLLEY,"Pala Citta' Di Cuorgne' - VIA CAPPA, 2 CUORGNE'"
Sat/23/03/24,ore 18.00,AF ALLOTREB U12,Canavolley Ivrea,SE Carlo Levi   Via Zandonai 18 Torino
Sat/6/04/24,ore 15.00,ALTO CANAVESE VOLLEY,VOLLEY FORTITUDO,"Pala Citta' Di Cuorgne' - VIA CAPPA, 2 CUORGNE'"
Sat/6/04/24,ore 18.00,AF ALLOTREB U12,Basso Canavese VolleyY Gialla,Palestra Scuola Silvio Pellico via xxv aprile 15 S.MAURO TORINESE
Sun/7/04/24,ore 15.00,VAL SANGONE VOLLEY,Canavolley Ivrea,I.T.C. PASCAL  VIA CARDUCCI 4 - GIAVENO 
Sat/13/04/24,ore 15.00,Basso Canavese VolleyY Gialla,VAL SANGONE VOLLEY,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Sat/13/04/24,ore 10.30,Canavolley Ivrea,ALTO CANAVESE VOLLEY,Palestra Antonicelli -Viale Kennedy 45 - IVREA
Sat/13/04/24,ore 11.00,VOLLEY FORTITUDO,AF ALLOTREB U12,"LICEO NEWTON VIA PALEOLOGI, 22 CHIVASSO"
Sun/19/05/24,ore 15.00,VAL SANGONE VOLLEY,VOLLEY FORTITUDO,I.T.C. PASCAL  VIA CARDUCCI 4 - GIAVENO 
Sat/20/04/24,ore 10.30,Canavolley Ivrea,Basso Canavese VolleyY Gialla,Palestra Antonicelli -Viale Kennedy 45 - IVREA
Sun/21/04/24,ore 11.00,ALTO CANAVESE VOLLEY,AF ALLOTREB U12,"Pala Citta' Di Cuorgne' - VIA CAPPA, 2 CUORGNE'"
Sat/4/05/24,ore 15.00,AF ALLOTREB U12,VAL SANGONE VOLLEY,SE Carlo Levi   Via Zandonai 18 Torino
Sun/5/05/24,ore 10.30,ALTO CANAVESE VOLLEY,Basso Canavese VolleyY Gialla,"Pala Citta' Di Cuorgne' - VIA CAPPA, 2 CUORGNE'"
Sat/4/05/24,ore 11.00,VOLLEY FORTITUDO,Canavolley Ivrea,"LICEO NEWTON VIA PALEOLOGI, 22 CHIVASSO"
Sat/11/05/24,ore 15.00,Basso Canavese VolleyY Gialla,VOLLEY FORTITUDO,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Sun/12/05/24,ore 15.00,VAL SANGONE VOLLEY,ALTO CANAVESE VOLLEY,I.T.C. PASCAL  VIA CARDUCCI 4 - GIAVENO 
Sat/11/05/24,ore 10.30,Canavolley Ivrea,AF ALLOTREB U12,Palestra Antonicelli -Viale Kennedy 45 - IVREA
