Subject,Start Date,End Date,Start Time,End Time,Description,Location
Partita U12F,24/02/24,24/02/24,15.00,17.00,Basso Canavese VolleyY Gialla - AF ALLOTREB U12,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Partita U12F,3/03/24,3/03/24,15.00,17.00,VAL SANGONE VOLLEY - Basso Canavese VolleyY Gialla,I.T.C. PASCAL  VIA CARDUCCI 4 - GIAVENO
Partita U12F,9/03/24,9/03/24,15.00,17.00,Basso Canavese VolleyY Gialla - Canavolley Ivrea,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Partita U12F,16/03/24,16/03/24,15.00,17.00,Basso Canavese VolleyY Gialla - ALTO CANAVESE VOLLEY,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Partita U12F,23/03/24,23/03/24,15.30,17.30,VOLLEY FORTITUDO - Basso Canavese VolleyY Gialla,"LICEO NEWTON VIA PALEOLOGI, 22 CHIVASSO"
Partita U12F,6/04/24,6/04/24,18.00,20.00,AF ALLOTREB U12 - Basso Canavese VolleyY Gialla,Palestra Scuola Silvio Pellico via xxv aprile 15 S.MAURO TORINESE
Partita U12F,13/04/24,13/04/24,15.00,17.00,Basso Canavese VolleyY Gialla - VAL SANGONE VOLLEY,Salone Falconieri Via Boggio 4 San Giorgio Canavese
Partita U12F,20/04/24,20/04/24,10.30,12.30,Canavolley Ivrea - Basso Canavese VolleyY Gialla,Palestra Antonicelli -Viale Kennedy 45 - IVREA
Partita U12F,5/05/24,5/05/24,10.30,12.30,ALTO CANAVESE VOLLEY - Basso Canavese VolleyY Gialla,"Pala Citta' Di Cuorgne' - VIA CAPPA, 2 CUORGNE'"
Partita U12F,11/05/24,11/05/24,15.00,17.00,Basso Canavese VolleyY Gialla - VOLLEY FORTITUDO,Salone Falconieri Via Boggio 4 San Giorgio Canavese
